;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
459;37241;21378;7754;22979;58086;214333;76907;63671
460;1797381;774535;118872;227884;223974;503080;1425979;301156
461;524885;17870;18716;125211;29404;89083;68220;63826
462;103988;36210;65027;1260;15986;46372;139207;39505
463;126119;58070;91744;258147;13649;83011;244450;144216
464;31987;161394;3823;60665;50132;169189;745105;11321
465;41463;35818;13030;97277;62412;162504;134380;129186
466;55002;6296;38346;59520;6383;211608;502840;167650
467;205069;245790;15152;63469;320549;72246;281223;154523
468;10023;16799;4153;161801;26083;57344;669080;24974
469;799956;12289;45259;81579;108361;239025;865900;64992
470;309497;180432;71744;23116;84772;28330;322848;884138
471;32087;128698;243507;21537;40841;19453;28565;148025
472;49985;18426;173654;307764;83861;667313;476400;45905
473;30617;10447;67789;55978;39307;147248;106503;37336
474;21394;82644;85387;16910;40538;17486;60399;1093049
475;64597;21314;111013;62189;45236;45738;37569;169918
476;30070;228019;473;109539;40063;24760;340265;31925
477;1084;121083;19828;64469;11439;3430;473081;1602052
478;273109;132919;12125;4368;240607;285610;198309;316999
479;77683;116853;8933;64107;79200;96329;240033;118549
480;203562;182103;1950;41310;94429;51476;466071;1531764
481;67054;63992;24042;77899;226827;293567;1553;5656
482;40234;78692;84003;103767;77455;354097;76189;426057
483;1481894;803219;157840;56919;121608;131032;328742;182757
484;17502;8657;23274;5449;27132;34623;307589;342262
485;84987;11031;18732;15539;138917;355060;317762;694867
486;172725;339196;11246;109120;21183;20371;8658;35129
487;386971;231180;15507;186599;39650;67121;533643;854458
488;344800;6689;61776;207033;10511;252284;468852;792808
489;16962;136304;28812;18422;62734;1441;148560;225302
490;84849;30864;131735;121459;139127;79632;666778;842135
491;5288;289267;49673;78768;43911;233128;110882;799538
492;63742;49333;55013;137503;109148;87575;655562;512914
493;62047;29541;156620;83639;146115;242386;643551;1474956
494;56694;312756;84365;84593;42635;32790;112568;42020
495;29415;66036;493422;152988;22584;159357;814304;237589
496;494498;122865;57581;1760;95830;12295;116992;250300
497;98098;74616;68357;24551;16673;25391;321964;396454
498;208537;84750;32798;271156;298906;255556;387332;193465
499;102822;72138;58061;15329;93181;139393;99695;22785
500;192528;73632;120403;53349;251064;14457;403489;724808
501;854;256501;8560;332573;223312;207402;492296;911076
502;41047;653;116872;39791;113279;82167;299863;758612
503;35149;137457;27817;19487;20602;273411;243935;67967
504;16665;77655;408058;71018;240621;147843;365106;532619
505;207378;29188;108708;121926;140764;257963;280468;438045
506;180367;66131;10762;83990;130094;149513;55179;243538
507;77592;97922;1476;24979;22921;154991;95769;122388
508;141459;2896;63021;345667;1062;201443;534937;744163
509;1846959;75198;4206;455910;188647;143741;1163496;675007
510;49878;22811;54973;47437;14254;173825;75257;150405
511;146720;64760;267991;66822;12404;168038;1053626;206526
512;46033;9171;21547;1248;34930;80634;4129;100074
513;864524;542131;372961;617824;1004;350317;809133;1028213
514;1134187;13078;7179;181944;190061;370187;41429;18664
515;50480;48726;51449;8569;49388;4325;128611;144892
516;127316;714262;24140;108231;154417;70865;38459;860071
517;61880;30923;105673;3068;132531;181473;71619;111079
518;65369;23459;49165;169206;15842;111352;332811;360061
519;21656;16150;205200;137554;4753;11734;78544;814602
520;132177;32391;6139;36298;107108;140274;93090;851361
521;133779;4272;40618;16062;85009;42605;179605;428000
522;4714;32625;190506;211058;59550;58102;355169;391392
