;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
413;370095;188386;64412;354041;110872;165133;11812;88973;179805
414;403776;41363;193233;220914;356213;6417;202597;482017;24352
415;330623;78386;329889;37068;272115;319229;231931;51702;278838
416;223184;97761;2612;146870;29653;19289;46785;83848;21452
417;470028;343240;14265;18286;8763;232392;258003;127111;260952
418;fail;220523;112407;222567;407414;135030;245861;355708;157198
419;236510;35560;134768;541715;63110;70072;98352;103997;229191
420;140874;108770;311152;30722;84751;35155;126184;198271;105648
421;445323;35069;77240;238096;707447;404117;120282;252729;13238
422;64263;230311;83328;152594;33120;207827;13458;270864;218032
423;81483;38695;25321;3313;63513;85825;175542;400;171894
424;75607;7195;141040;4819;170807;62404;47508;73486;86534
425;118924;58458;147081;205826;25154;227590;117140;191742;164447
426;240524;48703;234410;61432;51234;6876;165224;539;11226
427;109883;54937;443881;135945;103098;64869;80747;33340;150884
428;386190;fail;43141;50487;69710;50041;131120;168297;465803
429;409805;77779;43005;96669;167766;267152;86127;24317;56011
430;126766;1125;515777;17431;81786;159988;13511;78164;114748
431;118349;25236;86281;220335;249451;610646;94548;105905;316561
432;34323;238085;59363;256202;172732;15268;269401;238513;87580
433;125535;fail;260531;107515;98895;149630;252708;250558;116079
434;33020;38852;66190;119965;1798;91588;82245;35028;32059
435;64573;280719;10987;77167;4444;101856;33970;99435;149594
436;103800;200849;192911;78736;249049;133506;91002;221255;104912
437;208586;47192;100611;181984;297547;219354;2919;224307;23256
438;386475;68722;1782;49694;173464;621775;40702;88395;262214
439;89345;243950;30519;19186;10962;63015;375774;415879;38709
440;53950;221919;430345;202463;175967;6397;156524;569408;329973
441;43221;136982;291311;165011;76941;263300;236880;623495;290469
442;525750;911729;255758;361838;640;126622;152148;127503;251376
443;154680;20961;34773;14577;29188;41189;902806;425639;159718
444;138005;329973;100931;53421;20095;50533;138147;20578;183596
445;9627;141667;82578;79880;24484;227247;78949;95118;8474
446;301876;52968;84798;48534;145313;8476;12616;215247;524290
447;73409;32340;6078;57549;106974;28787;123238;36296;128303
448;115628;56669;26068;9679;40565;24109;114723;47787;8292
449;278985;5233;505776;52794;712567;16023;100149;177715;313866
450;65016;95874;323037;83276;39069;12841;144372;37896;16853
451;159652;70569;24650;247289;41419;287949;25908;173796;19965
452;60147;151903;51152;49131;338435;51655;88433;38847;103141
453;321575;208753;12344;525044;158948;155192;62676;336525;167277
454;133556;141815;183258;358496;133030;206386;484170;103905;48619
455;179710;226608;391312;275981;109141;369205;25884;fail;70647
456;50954;56345;93274;107548;106474;49130;289910;20756;32643
